word,meaning, memorize
fear factor, 두려움 요소 (두려움을 느끼게 하는 것), O
competition, 경쟁,
be looking forward, 기대하다,
Ferris wheel, 대관람차, O
wheelbarrow, 손수레, O
bagpipe, 백파이프 (스코틀랜드 전통 악기), O
raft, 뗏목,
depend on, ~에 달려 있다,
with light on, 불을 켜고, O
organizer, 행사 주최자,
Guess what?, "그거 알아? (놀라운 소식을 전할 때 쓰는 말)", O
chicken out, 겁을 먹다, O
participant, 참가자, O
involve, 관련되다,
take part in, ~에 참여하다,
liver, 간, O
tray, 쟁반, O
talent,재능,
quest,탐구, O
entertain,즐겁게 하다,
make a fool of myself,내가 바보가 되다, O
in front of,~앞에서, O
admit,인정하다,
brave,용감한, O
be proud of,자랑스러워하다,
suit,잘 어울리다,
mow the lawn,잔디를 깎다,
nervous,긴장한,
wizard,마법사, O
loud,시끄러운, O
cheer,응원,
volunteer,자원봉사자,
