word,meaning
bedtime thumps,잠자리 쿵쿵거림
fingernail,손톱
toenail,발톱
skirt,치마
might,~일지도 모른다
He worried that Mudge might eat her coffee table.,그는 머지가 그녀의 커피 테이블을 먹을까 봐 걱정했다.
mostly,대부분
alone,혼자
strange,이상한
rode,탔다 (ride의 과거형)
The longer he rode the more he worried.,그는 오래 탈수록 더 걱정되었다.
birdbath,새 목욕통 (마당에 놓는 작은 새 물먹이통)
corn,옥수수
look at each other,서로를 바라보다
tight,꼭
She hugged him tight.,그녀는 그를 꼭 껴안았다.
sleeve,소매
elephant,코끼리
phone booth,전화 부스
flamingo,홍학
gave a look,흘겨보다
Henry's father gave Mudge a look.,헨리의 아버지는 머지를 흘겨보았다.
knock,노크하다
peppermint,페퍼민트
Mudge was put out.,머지는 쫓겨났다.
giant,거대한
He has to sleep outside.,그는 밖에서 자야 한다.
lonely,외로운
bobcat,살쾡이
moth,나방
pound,쿵쾅거리다
His heart was pounding.,그의 심장이 쿵쾅거렸다.
knee,무릎
whisper,속삭이다
thump,쿵
He was glad to see Mudge.,그는 머지를 보니 기뻤다.
