word,meaning
Mudge loved sniffing at the ground.,머지는 땅에서 냄새 맡는 것을 좋아했다.
count,세다
south,남쪽
chipmunk,다람쥐
They never did things just the same way.,그들은 절대 같은 방식으로 행동하지 않았다.
Henry put on a coat.,헨리는 코트를 입었다.
Henry and Mudge liked being together.,헨리와 머지는 함께 있는 것을 좋아했다.
Halloween,할로윈
jack-o-lantern,잭-오-랜턴 (할로윈에 쓰는 호박 랜턴)
bat,박쥐
dress up,분장하다
witch,마녀
candle,양초
scare,겁주다
be afraid of,~을 두려워하다
invite,초대하다
except for,~을 제외하고
begin,시작하다
She told a story about a man who lost his head.,그녀는 머리를 잃은 남자에 대한 이야기를 했다.
shook,흔들다 (shake의 과거형)
graveyard,묘지
shape,모양
wall,벽
look for,찾다
tap,톡톡 두드리다
hold breath,숨을 참다
Henry held his breath.,헨리는 숨을 참았다.
chatter,재잘거리다
all by itself,스스로
Thanksgiving,추수감사절
She talks too much.,그녀는 말이 너무 많다.
hog,돼지
backyard,뒤뜰
chest,가슴
fed,먹였다 (feed의 과거형)
thankful,감사하는
