word,meaning
football,축구
hate,싫어하다
take attendance,출석을 부르다
the first day of second grade,2학년 첫날
say something about ourself,자신에 대해 말하기
There is no reason why kids should have to go to school.,아이들이 학교에 가야 할 이유는 없다.
Kids can learn all we need to learn by watching TV.,아이들은 TV를 보면서 우리가 배워야 할 모든 것을 배울 수 있다.
information,정보
cereal,시리얼
stuff,물건
dumb,바보 같은
grown-up,어른
baby-sitter,베이비시터
my own,내 자신의
I won’t make them go to school.,나는 그들을 학교에 가도록 강요하지 않을 것이다.
ride bikes,자전거 타기
for now,일단은
stare,응시하다
If they didn’t love school why did they become teachers?,학교를 좋아하지 않았다면 왜 선생님이 되었을까?
continue,계속하다
comfortable,편안한
couch,쇼파
sneaker,운동화
treat,대우하다
acorn,도토리
pop,펑 하고 터지다
I can eat a whole box of bonbons in on sitting.,나는 한 자리에 앉아 보낸 한 상자를 통째로 먹을 수 있다.
curly brown hair,곱슬거리는 갈색 머리
in front of,~앞에
fold,접다
in common,공통점
Maybe going to school wouldn’t be so terrible after all.,아마도 학교에 가는 것이 결국 그렇게 끔찍한 일은 아닐지도 모른다.
arithmetic,산수
It was time to see how much we knew about arithmetic.,우리가 산수에 대해 얼마나 알고 있는지 볼 시간이었다.
Principal,교장 선생님
How many apples would you have left?,사과가 몇 개 남을까요?
who cares,누가 상관해
bother,귀찮게 하다
in the front of,~의 앞쪽에
smart,똑똑한
multiply,곱하다
four times four,4 곱하기 4
scratch her head,그 여자가 머리를 긁적이다
wrinkle,주름
forehead,이마
figure out,이해하다
explain,설명하다
smarty-pants-I-know-everything-girl,뭐든-다-아는-체하는-잘난척-여자애
beat me,나를 이기다
on first,첫 번째로
a bunch of crayons,크레용 한 다발
She counted the crayons from one to sixteen.,그녀는 크레용을 1부터 16까지 세었다.
a puzzled look,어리둥절한 표정
I’m not sure I understand.,이해가 잘 안 돼요.
row,줄
Miss Daisy still had a look on her face like she didn’t understand.,데이지 선생님은 여전히 이해하지 못한 듯한 표정을 지었다.
subtract,빼다
accordion,아코디언
gather,모으다
add,더하다
divide,나누다
Nothing worked.,아무것도 효과가 없었다.
No matter how many times we tried to explain,아무리 여러 번 설명을 시도해도
a while,잠시
break the rules,규칙을 어기다
dungeon,지하 감옥
basement,지하실
get locked up,갇히다
get forced to,~하도록 강요받다
listen,듣다
be on our best behavior,최선의 행동을 하다
mature,성숙한
cheerfully,명랑하게
run in the halls,복도에서 뛰다
chew gum,껌 씹다
listen closely,주의 깊게 듣다
stare,응시하다
He had no hair at all!,그는 머리카락이 전혀 없었다!
