word,meaning
have got to,~해야 한다
We've got to get started.,우리는 시작해야 해.
Wait a minute.,잠깐만.
zip,재빨리 움직이다
cross arms,팔짱 끼다
sigh,한숨 쉬다
fold,접다
name after,~의 이름을 따서 짓다
be supposed to,~하기로 되어 있다
shy,수줍은
People named after violets are supposed to be quiet and shy.,제비꽃(violet)의 이름을 딴 사람들은 조용하고 수줍어야 한다.
loud,시끄러운
frown,인상을 찌푸리다
strand,가닥
brush,빗질하다
never mind,신경 쓰지 마
impatiently,참을성 없이
bring back,되찾아오다
I've got to bring them back!,나는 그들을 되찾아와야 해!
big deal,대수로운 일
escape,탈출하다
dangerous,위험한
if,만약 ~라면
Violet didn't know if she believed Sprite's story.,바이올렛은 스프라이트의 이야기를 믿어야 할지 몰랐다.
all by yourself,혼자 힘으로
puff up,부풀다
waist,허리
queen,여왕
She told me to ask you for help.,그녀는 나에게 너에게 도움을 청하라고 했어.
I'm not sure why.,왜 그런지 모르겠어.
rhyme,운율
tug,잡아당기다
hoodie,후드티
be supposed to,~하기로 되어 있다
I'm supposed to be playing in my backyard.,나는 우리 뒤뜰에서 놀고 있어야 해.
in front of,~앞에서
let,허락하다
She'd never let me go running off with a fairy.,그녀는 절대 내가 요정과 함께 도망가게 놔두지 않을 거야.
flyswatter,파리채
No help for you!,너를 도와줄 수 없어!
belong to,~에 속하다
The voice belonged to another fairy.,그 목소리는 다른 요정의 것이었다.
wore,입고 있었다
jingle,딸랑딸랑
pile,더미
glittering,반짝이는
dust,먼지
palm,손바닥
trap,덫
whirl around,빙글빙글 돌다
form,형성하다
surround,둘러싸다
invisible,보이지 않는
