word,meaning
marble,구슬
yell,소리치다
toad,두꺼비
hop,깡충깡충 뛰다
The toad hopped away from her.,두꺼비는 그녀에게서 깡충 뛰어 도망갔다.
collection,수집품
chase,쫓다
grass,잔디
patch,작은 땅
buttercup,미나리아재비 (꽃이름)
grab,붙잡다
root,뿌리
oak,떡갈나무
on one's knee,무릎을 꿇고
She got down on her knee.,그녀는 무릎을 꿇었다.
damp,축축한
soak,흠뻑 적시다
The damp grass soaked through her pants.,축축한 잔디가 그녀의 바지를 흠뻑 적셨다.
whisper,속삭이다
I just want my marble back!,난 그냥 내 구슬을 돌려받고 싶을 뿐이야!
bumpy,울퉁불퉁한
skin,피부
tree trunk,나무 줄기
disappear,사라지다
A face looked back at her.,얼굴 하나가 그녀를 돌아보았다.
tiny,아주 작은
flew,날았다 (fly의 과거형)
float,떠다니다
stare at,응시하다
creature,생명체
as tall as,~만큼 키가 큰
about,대략
He was about as tall as a pencil.,그는 연필만큼 키가 컸다 (키가 연필만 했다)
pointy,뾰족한
pale,창백한
shimmer,희미하게 빛나다
Violet counted to three.,바이올렛은 셋까지 세었다.
flutter,펄럭이다
fairy,요정
wonder,궁금해하다
grin,활짝 웃다
carefully,조심스럽게
wire,철사
string,끈
solid,단단한
flat,평평한
There were no wires or strings holding him in the air.,그를 공중에 붙잡아 둔 철사나 끈은 없었다.
I'm glad I could help.,내가 도울 수 있어서 기뻐.
ask for help,도움을 요청하다
especially,특히
tickle,간질이다
in danger,위험에 빠진
Your world is in great danger!,너희 세계가 큰 위험에 빠졌어!
