word,meaning
football,축구
hate,싫어하다
take attendance,출석을 부르다
the first day of second grade,2학년 첫날
say something about ourself,자신에 대해 말하기
There is no reason why kids should have to go to school.,아이들이 학교에 가야 할 이유는 없다.
Kids can learn all we need to learn by watching TV.,아이들은 TV를 보면서 우리가 배워야 할 모든 것을 배울 수 있다.
information,정보
cereal,시리얼
stuff,물건
dumb,바보 같은
grown-up,어른
baby-sitter,베이비시터
my own,내 자신의
I won’t make them go to school.,나는 그들을 학교에 가도록 강요하지 않을 것이다.
ride bikes,자전거 타기
for now,일단은
stare,응시하다
If they didn’t love school why did they become teachers?,학교를 좋아하지 않았다면 왜 선생님이 되었을까?
continue,계속하다
comfortable,편안한
couch,쇼파
sneaker,운동화
treat,대우하다
acorn,도토리
pop,펑 하고 터지다
I can eat a whole box of bonbons in on sitting.,나는 한 자리에 앉아 보낸 한 상자를 통째로 먹을 수 있다.
curly brown hair,곱슬거리는 갈색 머리
in front of,~앞에
fold,접다
in common,공통점
Maybe going to school wouldn’t be so terrible after all.,아마도 학교에 가는 것이 결국 그렇게 끔찍한 일은 아닐지도 모른다.
