word,meaning
funny,재미있는
costume,의상
drawer,서랍
fake,가짜
clown,광대
help himself,스스로 (음식을) 가지다
enormous,거대한
mouthful,입 가득
noise,소음
crunch,아삭아삭
chomp,우적우적 씹다
clink,찰랑찰랑
molar,어금니
shiny,빛나는
tooth,이빨
told[tell],말했다
worry,걱정
promise,약속
tooth fairy,치과 요정
take,가져가다
leave,떠나다;남기다
penny,동전
in its place,그 자리에
laugh,웃다
shook[shake] a finger,손가락을 흔들다
believe in,~를 믿다
Too bad for you.,유감이네요; 안됐구만
There's no such thing as~,~따위는 없어.
put on,(옷을) 입다
disguise,변장
tiptoe,발끝으로 걷다
pillow,베개
odd,이상한
from then on,그때부터
tired-looking,피곤해 보이는
sandman,잠의 요정
snicker,킥킥 웃다
drew,그렸다
blackboard,칠판
refuse,거절하다
exist,존재하다
scary,무서운
creature,생명체
went[go] to bed early,일찍 잠자리에 들었다
Santa Claus,산타클로스
parade,행진
drag,끌다
along with,~와 함께
lap,무릎
shiny,반짝이는
whisper,속삭이다
tiny voice,작은 목소리
No one had heard.,아무도 듣지 못했다.
except,~을 제외하고
Christmas,크리스마스
was awakened,깨어났다
suddenly,갑자기
loud,시끄러운
boom,쿵 하는 소리
present,선물
chimney,굴뚝
attach,붙이다
mysterious,신비로운
package,소포
fantastic,환상적인
squirt gun,물총
what I asked Santa for,내가 산타에게 부탁한 것
neither,~도 또한 아니다
storybook,동화책
delighted,매우 기뻐한
