word,meaning
tired-looking,피곤해 보이는
sandman,잠의 요정
snicker,킥킥 웃다
drew,그렸다
blackboard,칠판
refuse,거절하다
exist,존재하다
scary,무서운
creature,생명체
went[go] to bed early,일찍 잠자리에 들었다
Santa Claus,산타클로스
parade,행진
drag,끌다
along with,~와 함께
lap,무릎
shiny,반짝이는
whisper,속삭이다
tiny voice,작은 목소리
No one had heard.,아무도 듣지 못했다.
except,~을 제외하고
Christmas,크리스마스
was awakened,깨어났다
suddenly,갑자기
loud,시끄러운
boom,쿵 하는 소리
present,선물
chimney,굴뚝
attach,붙이다
mysterious,신비로운
package,소포
fantastic,환상적인
squirt gun,물총
what I asked Santa for,내가 산타에게 부탁한 것
neither,~도 또한 아니다
storybook,동화책
delighted,매우 기뻐한
