word,meaning
afternoon,대낮
busy,바쁜
coffee,커피
detail,세부 묘사
especially,특히
finish,끝
ground,바닥
holiday,휴일
choice,선택
kitchen,부엌
lesson,교훈
music,음악
orange,주황색
perfect,(adj) 완전한
request,의뢰
season,시즌
sick,병든
tomorrow,내일
welcome,어서 오십시오
yesterday,어제
agree,동의하다
bridge,다리
cake,케이크
customer,고객
date,데이트
enter,시작하다
future,미래
gentleman,신사
hair,머리
image,영상
language,언어
market,시장
plane,비행기
private,은밀한
restaurant,레스토랑
size,크기
sky,하늘
smart,똑똑한
thank,감사
weather,날씨
actor,배우
bottle,병
cloth,천
coat,코트
destroy,멸하다
everywhere,어디에나
finger,손가락
guide,안내서
improve,돌리다
knife,칼
